run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,detail
"SMOKE01-r1-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","3","3","0","17","17","100.000000","624.000000","624.000000","118.000000","2","1500.228603","64.179802","","13.331768","41","0","0","0","81","484","1428","70.739410","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","4144dfccc1da0550a42dd9a30cca5080d6a576741d08ccde13bc453646751aa9","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE01-r1-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","SA","TIME","1500","OK","TIME_LIMIT","BUILT","true","true","3","3","0","17","17","100.000000","1296.000000","1296.000000","162.000000","3","1500.264749","28.777742","29.396855","20.351820","109","109","35","53","97","442","1563","77.661774","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","9897e8a14f6a5575973b381279debb28f5e3ff0cd3b83d5d4fb70d42b429ede7","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE01-r2-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","73","2","SA","TIME","1500","OK","TIME_LIMIT","BUILT","true","true","3","3","0","17","17","100.000000","1136.000000","1136.000000","162.000000","3","1501.314167","30.578702","30.717798","16.427546","118","118","31","61","99","539","1726","49.683861","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","27ad064cad9f72d29b04cf376dd7f23ccf82518edbf3e9b967657d84292c9f56","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE01-r2-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","73","2","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","3","3","0","17","17","100.000000","624.000000","624.000000","118.000000","2","1500.311892","85.792697","","11.555207","49","0","0","0","97","580","1708","47.678101","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","18a68496faafcfd38a2b4f8aae2bcf910f2eb7c22ea81471d1b1bdd9f69df7de","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r1-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","SA","TIME","1500","OK","TIME_LIMIT","BUILT","true","true","4","4","0","15","15","100.000000","1320.000000","1320.000000","165.000000","4","1500.264763","190.905575","191.213675","23.879080","48","48","15","27","45","248","684","47.533348","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","a6e9d77b3582cd315c3461ea3deb0d75678f6f4f92594bb8d6ac72cbf0201381","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE02-r1-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","4","4","0","15","15","100.000000","978.000000","978.000000","202.000000","4","1500.249330","377.702749","","28.688210","11","0","0","0","21","246","489","47.862617","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","dd2d46534f6c12de59b5208080ae1cc45da848f211d629536ec934800ccc4e2b","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r2-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","73","2","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","4","4","0","15","15","100.000000","942.000000","942.000000","202.000000","4","1500.258454","400.381117","","45.074876","10","0","0","0","19","236","505","47.665710","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","d9fbea26f7e055e555aab56f0300acbf3e6b65ee3e1a1cd1ce02c6913d99775f","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r2-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","73","2","SA","TIME","1500","OK","TIME_LIMIT","BUILT","true","true","4","4","0","15","15","100.000000","1352.000000","1352.000000","169.000000","4","1500.471499","198.072109","198.560305","40.193389","37","37","5","21","31","173","455","77.754883","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","21040791ba95fca7057e8db384ffca65b4ef8ac839997648bd2db3e618fc14ee","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE03-r1-b1500-GRASP","SMOKE03","SPLIT","SYNTHETIC","1103","42","1","GRASP","TIME","1500","PARTIAL","TIME_LIMIT","INTEGRATED","false","true","2","1","1","30","5","50.000000","","144.000000","24.000000","1","1500.269420","","","15.771079","804","0","0","0","1607","4016","7230","47.342506","bc3fed284278e37ae27105d714bb5f685b2c7bc9b4630754882b8d09ba6ae2cf","f828480617950426124a050c7d1dbd1ae37d0632a967554644139107f6cf5e33","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Native unserved orders: 1; full-demand feasibility is assessed externally"
"SMOKE03-r1-b1500-SA","SMOKE03","SPLIT","SYNTHETIC","1103","42","1","SA","TIME","1500","OK","TIME_LIMIT","BUILT","true","true","2","2","0","30","30","100.000000","1444.000000","1444.000000","233.000000","4","1500.264960","42.368214","42.871973","15.934921","92","92","14","56","77","333","1417","77.729774","bc3fed284278e37ae27105d714bb5f685b2c7bc9b4630754882b8d09ba6ae2cf","361d3932ea9efa445c9f9ef40896263ae0c1dec8e47fdf0fe8ffd03dadbb345b","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE03-r2-b1500-SA","SMOKE03","SPLIT","SYNTHETIC","1103","73","2","SA","TIME","1500","OK","TIME_LIMIT","BUILT","true","true","2","2","0","30","30","100.000000","1464.000000","1464.000000","240.000000","5","1500.265029","32.064534","32.349032","24.635612","103","103","26","55","86","432","1571","74.836876","bc3fed284278e37ae27105d714bb5f685b2c7bc9b4630754882b8d09ba6ae2cf","92170cafbcfde13af04234ce04fb8a765f90448b10f9c37e6c643b924004ae23","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE03-r2-b1500-GRASP","SMOKE03","SPLIT","SYNTHETIC","1103","73","2","GRASP","TIME","1500","PARTIAL","TIME_LIMIT","INTEGRATED","false","true","2","1","1","30","5","50.000000","","144.000000","24.000000","1","1500.263652","","","17.073643","753","0","0","0","1505","3762","6774","47.345802","bc3fed284278e37ae27105d714bb5f685b2c7bc9b4630754882b8d09ba6ae2cf","af58a2a44a2cc5f0e45a33725dd8cf8ce57771483edd1701cfef91739ea33331","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Native unserved orders: 1; full-demand feasibility is assessed externally"
"SMOKE04-r1-b1500-SA","SMOKE04","REAL","REAL","0","42","1","SA","TIME","1500","OK","TIME_LIMIT","BUILT","true","true","7","7","0","39","39","100.000000","5680.000000","5680.000000","710.000000","7","1500.345214","468.420109","468.858350","251.963105","6","6","2","2","7","44","95","40.351509","3266936ca9e09a022fa9c2e44fba32aa4e58aebd7d2c4a480f4bfbf31ccee775","b9e6d7cc8d8dc49dde318714c9f3539417ad64eb8feb76cead328b0e2e89e2c8","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE04-r1-b1500-GRASP","SMOKE04","REAL","REAL","0","42","1","GRASP","TIME","1500","TIME_LIMIT_NO_PLAN","TIME_LIMIT","INTEGRATED","false","true","7","0","7","39","0","0.000000","","0.000000","0.000000","0","1500.239830","","","10.959862","1","0","0","0","0","0","62","67.469131","3266936ca9e09a022fa9c2e44fba32aa4e58aebd7d2c4a480f4bfbf31ccee775","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","No evaluated construction completed within the computational budget"
