instance_id,family,budget_ms,mode,paired_repetitions,grasp_success_rate,sa_success_rate,success_difference_grasp_minus_sa,joint_success_repetitions,mean_cost_difference_on_joint_success,mean_log_cost_ratio_on_joint_success,all_repetitions_jointly_feasible,grasp_mean_cost_on_joint_success,sa_mean_cost_on_joint_success,orders_provably_unservable,grasp_servable_success_rate,sa_servable_success_rate,mean_log_cost_ratio_on_joint_servable_success
S01,NORMAL,5000,TIME,3,1,1,0,3,-5720.666666666667,-0.9417411880170325,1,3654.0,9374.666666666666,0,1,1,-0.9417411880170325
S01,NORMAL,20000,TIME,3,1,1,0,3,-5822.666666666667,-0.9700879199983877,1,3552.0,9374.666666666666,0,1,1,-0.9700879199983877
S02,NORMAL,5000,TIME,3,1,1,0,3,-10378.666666666666,-0.8367629438658141,1,7926.0,18304.666666666668,0,1,1,-0.8367629438658141
S02,NORMAL,20000,TIME,3,1,1,0,3,-10418.666666666666,-0.8418288975022913,1,7886.0,18304.666666666668,0,1,1,-0.8418288975022913
S03,NORMAL,5000,TIME,3,1,0,1,0,,,0,,,0,1,0,
S03,NORMAL,20000,TIME,3,1,0,1,0,,,0,,,0,1,0,
S04,NORMAL,5000,TIME,3,1,0,1,0,,,0,,,0,1,0,
S04,NORMAL,20000,TIME,3,1,0,1,0,,,0,,,0,1,0,
S05,REAL,5000,TIME,3,1,1,0,3,-1387.3333333333333,-0.4303847203583614,1,2576.0,3963.3333333333335,0,1,1,-0.4303847203583614
S05,REAL,20000,TIME,3,1,1,0,3,-1387.3333333333333,-0.4303847203583614,1,2576.0,3963.3333333333335,0,1,1,-0.4303847203583614
S06,REAL,5000,TIME,3,1,1,0,3,-3999.6666666666665,-0.9299138991820486,1,2606.6666666666665,6606.333333333333,0,1,1,-0.9299138991820486
S06,REAL,20000,TIME,3,1,1,0,3,-4013.0,-0.9350422054618751,1,2593.3333333333335,6606.333333333333,0,1,1,-0.9350422054618751
S07,REAL,5000,TIME,3,0,0,0,0,,,0,,,3,1,0,
S07,REAL,20000,TIME,3,0,0,0,0,,,0,,,3,1,0,
S08,REAL,5000,TIME,3,0,0,0,0,,,0,,,4,1,0,
S08,REAL,20000,TIME,3,0,0,0,0,,,0,,,4,1,0,
