instance_id,search_seed,budget_ms,grasp_ok,sa_ok,grasp_cost,sa_cost,difference_grasp_minus_sa
S01,42,5000,true,true,3660.000000,9582.000000,-5922.000000
S01,73,5000,true,true,3630.000000,9566.000000,-5936.000000
S01,101,5000,true,true,3672.000000,8976.000000,-5304.000000
S01,42,20000,true,true,3504.000000,9582.000000,-6078.000000
S01,73,20000,true,true,3570.000000,9566.000000,-5996.000000
S01,101,20000,true,true,3582.000000,8976.000000,-5394.000000
S02,42,5000,true,true,7956.000000,18182.000000,-10226.000000
S02,73,5000,true,true,7902.000000,17876.000000,-9974.000000
S02,101,5000,true,true,7920.000000,18856.000000,-10936.000000
S02,42,20000,true,true,7836.000000,18182.000000,-10346.000000
S02,73,20000,true,true,7902.000000,17876.000000,-9974.000000
S02,101,20000,true,true,7920.000000,18856.000000,-10936.000000
S03,42,5000,true,false,12804.000000,,
S03,73,5000,true,false,13234.000000,,
S03,101,5000,true,false,12936.000000,,
S03,42,20000,true,false,12664.000000,,
S03,73,20000,true,false,12650.000000,,
S03,101,20000,true,false,12740.000000,,
S04,42,5000,true,false,19810.000000,,
S04,73,5000,true,false,19734.000000,,
S04,101,5000,true,false,20214.000000,,
S04,42,20000,true,false,19182.000000,,
S04,73,20000,true,false,19672.000000,,
S04,101,20000,true,false,19196.000000,,
S05,42,5000,true,true,2576.000000,4104.000000,-1528.000000
S05,73,5000,true,true,2576.000000,3810.000000,-1234.000000
S05,101,5000,true,true,2576.000000,3976.000000,-1400.000000
S05,42,20000,true,true,2576.000000,4104.000000,-1528.000000
S05,73,20000,true,true,2576.000000,3810.000000,-1234.000000
S05,101,20000,true,true,2576.000000,3976.000000,-1400.000000
S06,42,5000,true,true,2620.000000,6693.000000,-4073.000000
S06,73,5000,true,true,2620.000000,6505.000000,-3885.000000
S06,101,5000,true,true,2580.000000,6621.000000,-4041.000000
S06,42,20000,true,true,2620.000000,6693.000000,-4073.000000
S06,73,20000,true,true,2580.000000,6505.000000,-3925.000000
S06,101,20000,true,true,2580.000000,6621.000000,-4041.000000
S07,42,5000,false,false,,,
S07,73,5000,false,false,,,
S07,101,5000,false,false,,,
S07,42,20000,false,false,,,
S07,73,20000,false,false,,,
S07,101,20000,false,false,,,
S08,42,5000,false,false,,,
S08,73,5000,false,false,,,
S08,101,5000,false,false,,,
S08,42,20000,false,false,,,
S08,73,20000,false,false,,,
S08,101,20000,false,false,,,
