run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"S01-r1-b5000-GRASP","S01","NORMAL","SYNTHETIC","5100","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3660.000000","3660.000000","770.000000","8","5000.427500","109.526300","","18.588500","353","0","0","0","705","140172","2399699","262.060440","be9fe9d94b405bc950334dfe186479fd2e7acc59d401d000f1ba5cf03691d9e7","5cb56d5b6a7edf8d4db4c722a64364bd4eee6322ed523915294345b2ed757918","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S01-r1-b5000-SA","S01","NORMAL","SYNTHETIC","5100","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","9085.000000","9085.000000","1977.000000","24","1894.703200","72.729400","72.600900","26.822800","6750","6750","1473","1177","4234","152679","691602","78.133476","be9fe9d94b405bc950334dfe186479fd2e7acc59d401d000f1ba5cf03691d9e7","6d0c6a87bc4e641d5a93dbae36bfa15453f43e198868ede520cf1441497e804d","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=24; unattended=0; unattendedIds=[]; initialCost=9676.0; iterations=6750; evaluatedNeighbors=4204; acceptedNeighbors=1177; finalTemperature=0.983301527910579"
"S01-r2-b5000-SA","S01","NORMAL","SYNTHETIC","5100","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","9676.000000","9676.000000","2094.000000","24","1855.216500","55.401800","55.306400","28.323500","6750","6750","1578","1210","4452","160946","741180","75.265450","be9fe9d94b405bc950334dfe186479fd2e7acc59d401d000f1ba5cf03691d9e7","152d8038853760d81445ba4892ef6dc197b84a84c37938e49c61d4642277399a","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=24; unattended=0; unattendedIds=[]; initialCost=9676.0; iterations=6750; evaluatedNeighbors=4422; acceptedNeighbors=1210; finalTemperature=0.983301527910579"
"S01-r2-b5000-GRASP","S01","NORMAL","SYNTHETIC","5100","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3630.000000","3630.000000","760.000000","8","5000.402500","94.450400","","20.541500","353","0","0","0","704","139178","2385880","260.698624","be9fe9d94b405bc950334dfe186479fd2e7acc59d401d000f1ba5cf03691d9e7","45c78bc370235d3ee7f9b447cd26bad0f8d91604706842bc9b8aa6db2e47d05c","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S02-r1-b5000-SA","S02","NORMAL","SYNTHETIC","5101","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","18614.000000","18614.000000","3264.000000","37","2595.501100","118.864800","118.768100","35.290900","6750","6750","2943","1050","4884","179751","1129933","93.792465","a72e94d544eb4f3e82a93179e13049e893f0f7812dbd6eac3354d49fcb255bfc","ba94c712e4863f26d84ad7f690930a957a08b0a3ccdf3a1beea0c10d878819bc","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=48; unattended=0; unattendedIds=[]; initialCost=18660.0; iterations=6750; evaluatedNeighbors=4819; acceptedNeighbors=1050; finalTemperature=0.983301527910579"
"S02-r1-b5000-GRASP","S02","NORMAL","SYNTHETIC","5101","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","7956.000000","7956.000000","1520.000000","15","5001.195400","171.955300","","27.592100","94","0","0","0","186","162374","2311129","257.333549","a72e94d544eb4f3e82a93179e13049e893f0f7812dbd6eac3354d49fcb255bfc","dca5cf002db2fb4c46f90816c483c8588175d6d6b4416cf8333538396f1d7732","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S02-r2-b5000-GRASP","S02","NORMAL","SYNTHETIC","5101","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","8118.000000","8118.000000","1610.000000","15","5001.239300","192.436300","","32.157200","88","0","0","0","175","156763","2185342","256.332993","a72e94d544eb4f3e82a93179e13049e893f0f7812dbd6eac3354d49fcb255bfc","fb1b6f65c8d06923ad89c4555d58ba845357957f624807eecdd6137190881f7b","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S02-r2-b5000-SA","S02","NORMAL","SYNTHETIC","5101","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","18158.000000","18158.000000","3159.000000","37","2540.734600","102.746200","102.649000","40.328700","6750","6750","2893","1084","4920","181083","1137872","89.562248","a72e94d544eb4f3e82a93179e13049e893f0f7812dbd6eac3354d49fcb255bfc","1a97ff0f30b1f08bbdd1c822b76c0bd3723ea8752851f913872c680a8f9eec6e","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=48; unattended=0; unattendedIds=[]; initialCost=18660.0; iterations=6750; evaluatedNeighbors=4855; acceptedNeighbors=1084; finalTemperature=0.983301527910579"
"S03-r1-b5000-GRASP","S03","NORMAL","SYNTHETIC","5102","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","12804.000000","12804.000000","2638.000000","24","5000.485500","321.745000","","45.861500","16","0","0","0","31","139729","1566441","222.575447","9d15e3c05fc97b527c9eff0b2a8f85e0edac171fe96d358562d982de2114741a","e02d28e5b61c336cfce4cb333b705ba344ffbe3f079247faa409fa555c8232d3","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S03-r1-b5000-SA","S03","NORMAL","SYNTHETIC","5102","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","27684.000000","27684.000000","5237.000000","37","3581.846700","190.837700","190.730200","75.472500","6750","6750","3386","972","5026","184830","1819163","107.876541","9d15e3c05fc97b527c9eff0b2a8f85e0edac171fe96d358562d982de2114741a","37107d8bea419a5d3318204f24c8b013d9df111eaaef84213cc23e9d563cb8fc","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=96; unattended=0; unattendedIds=[]; initialCost=32470.0; iterations=6750; evaluatedNeighbors=4875; acceptedNeighbors=972; finalTemperature=0.983301527910579"
"S03-r2-b5000-SA","S03","NORMAL","SYNTHETIC","5102","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","26856.000000","26856.000000","4932.000000","37","3412.809100","210.946600","210.799000","52.955900","6750","6750","3446","882","5005","184053","1822081","98.485039","9d15e3c05fc97b527c9eff0b2a8f85e0edac171fe96d358562d982de2114741a","e8c20f93212092dc06092ed10d702d0018f76a431934a5a1890b10803aade3f1","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=96; unattended=0; unattendedIds=[]; initialCost=32470.0; iterations=6750; evaluatedNeighbors=4854; acceptedNeighbors=882; finalTemperature=0.983301527910579"
"S03-r2-b5000-GRASP","S03","NORMAL","SYNTHETIC","5102","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","96","96","0","409","409","100.000000","0","96","100.000000","true","13048.000000","13048.000000","2562.000000","26","5001.436200","292.269400","","39.560500","15","0","0","0","29","146517","1713101","225.715942","9d15e3c05fc97b527c9eff0b2a8f85e0edac171fe96d358562d982de2114741a","d4fc6896d464bfd22661a6d93c398b76595fca9df68e7a3f62627c46cc0ad842","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S04-r1-b5000-SA","S04","NORMAL","SYNTHETIC","5103","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","144","144","0","629","629","100.000000","0","144","100.000000","true","41759.000000","41759.000000","7342.000000","37","4703.838100","435.426700","435.293300","73.522400","6750","6750","3520","854","5220","190812","2318921","109.135277","3f5b1b23c649b5276de9bb52c5065959d4c5f630630f6afff902e1ddfc2aaedb","e2727441b598347f10310f89c129a8e22eef15bc3d4c3d05e256ea53b3c9feba","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=144; unattended=0; unattendedIds=[]; initialCost=52336.0; iterations=6750; evaluatedNeighbors=4842; acceptedNeighbors=854; finalTemperature=0.983301527910579"
"S04-r1-b5000-GRASP","S04","NORMAL","SYNTHETIC","5103","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","144","144","0","629","629","100.000000","0","144","100.000000","true","20486.000000","20486.000000","3992.000000","30","5002.343700","434.095900","","69.824200","4","0","0","0","7","91346","1118182","174.290062","3f5b1b23c649b5276de9bb52c5065959d4c5f630630f6afff902e1ddfc2aaedb","bb24df156fc8409be7606b5d3aeb2d164a505dfcfa53d7d9c0b2e8d005d510ad","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S04-r2-b5000-GRASP","S04","NORMAL","SYNTHETIC","5103","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","144","144","0","629","629","100.000000","0","144","100.000000","true","20390.000000","20390.000000","3924.000000","28","5001.305500","445.968700","","61.738100","4","0","0","0","7","89901","1067273","184.260147","3f5b1b23c649b5276de9bb52c5065959d4c5f630630f6afff902e1ddfc2aaedb","4fec96e303559196dadfad9f263462fad800626d4472a188702257cfc2ec2565","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S04-r2-b5000-SA","S04","NORMAL","SYNTHETIC","5103","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","144","144","0","629","629","100.000000","0","144","100.000000","true","41290.000000","41290.000000","7250.000000","37","4673.395300","408.054100","407.959200","76.799600","6750","6750","3615","837","5263","192403","2365306","107.944305","3f5b1b23c649b5276de9bb52c5065959d4c5f630630f6afff902e1ddfc2aaedb","4bb696ac7e157b76ed6762e53197fd3078a803b194604bb1707d28bf6535df61","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=144; unattended=0; unattendedIds=[]; initialCost=52336.0; iterations=6750; evaluatedNeighbors=4885; acceptedNeighbors=837; finalTemperature=0.983301527910579"
"S07-r1-b5000-GRASP","S07","REAL","REAL","0","42","1","GRASP","TIME","5000","PARTIAL","TIME_LIMIT","INTEGRATED","false","true","41","38","3","219","208","92.682927","3","38","100.000000","true","","7186.000000","1162.000000","10","5000.634400","","","75.276900","6","0","0","0","11","11257","122131","87.436005","8146457d4fbe46f2ebeb6b2e4913cd84384f68643ba9b7553654d4ef16f9fbe5","2ce12b355e0b56a0bae29decaf0ed7e3579cf67f1d1a0d8bc1d2c595d505b16d","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 3; full-demand feasibility is assessed externally"
"S07-r1-b5000-SA","S07","REAL","REAL","0","42","1","SA","TIME","5000","PARTIAL","RETURNED","BUILT","false","true","41","38","3","219","208","92.682927","3","38","100.000000","true","","17614.000000","3302.000000","37","3521.623200","","152.387200","80.836100","6750","6750","2729","1150","5026","180692","1004022","104.148323","8146457d4fbe46f2ebeb6b2e4913cd84384f68643ba9b7553654d4ef16f9fbe5","80f4cf5d3fac719940b7d783856cead6a5045ac0e20a648a678cdaf237a45faf","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=38; unattended=3; unattendedIds=[c3274-2026-09-3799, c4638-2026-09-3800, c9729-2026-09-3806]; initialCost=18568.0; iterations=6750; evaluatedNeighbors=4844; acceptedNeighbors=1150; finalTemperature=0.983301527910579"
"S07-r2-b5000-SA","S07","REAL","REAL","0","73","2","SA","TIME","5000","PARTIAL","RETURNED","BUILT","false","true","41","38","3","219","208","92.682927","3","38","100.000000","true","","17753.000000","3234.000000","37","3525.766300","","161.398200","84.482400","6750","6750","2761","1089","5028","180776","1017386","117.745659","8146457d4fbe46f2ebeb6b2e4913cd84384f68643ba9b7553654d4ef16f9fbe5","2ff48b7766c84550a05094bf2f348d8f78b611e9a1284136996eddb190282dcc","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=38; unattended=3; unattendedIds=[c3274-2026-09-3799, c4638-2026-09-3800, c9729-2026-09-3806]; initialCost=18568.0; iterations=6750; evaluatedNeighbors=4846; acceptedNeighbors=1089; finalTemperature=0.983301527910579"
"S07-r2-b5000-GRASP","S07","REAL","REAL","0","73","2","GRASP","TIME","5000","PARTIAL","TIME_LIMIT","INTEGRATED","false","true","41","38","3","219","208","92.682927","3","38","100.000000","true","","6878.000000","1102.000000","10","5000.408500","","","63.174100","6","0","0","0","11","11327","137877","93.933990","8146457d4fbe46f2ebeb6b2e4913cd84384f68643ba9b7553654d4ef16f9fbe5","ef09fd0f5b0b1d092d4f3c26d3357f944c3ec7f2f60c7f6f0df2a44759d8a746","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 3; full-demand feasibility is assessed externally"
"S08-r1-b5000-SA","S08","REAL","REAL","0","42","1","SA","TIME","5000","PARTIAL","RETURNED","BUILT","false","true","53","49","4","279","262","92.452830","4","49","100.000000","true","","19269.000000","3604.000000","37","3623.787000","","251.488000","97.711200","6750","6750","2803","1196","5089","181525","1166443","104.635864","13c27e16980dd0a24dc9041ba4209b40e33f8e40df856721ce1ad79f12b0dec6","74b7cd966b1fd55767b34fcbf0b9940e79dd5b7e4f6ce17b393a40b8f1216a81","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=49; unattended=4; unattendedIds=[c8715-2026-09-3985, c0901-2026-09-4013, c1413-2026-09-4015, c3076-2026-09-3994]; initialCost=21802.0; iterations=6750; evaluatedNeighbors=4847; acceptedNeighbors=1196; finalTemperature=0.983301527910579"
"S08-r1-b5000-GRASP","S08","REAL","REAL","0","42","1","GRASP","TIME","5000","PARTIAL","TIME_LIMIT","INTEGRATED","false","true","53","49","4","279","262","92.452830","4","49","100.000000","true","","10034.000000","1706.000000","12","5000.424200","","","99.490500","5","0","0","0","9","9183","110399","83.936501","13c27e16980dd0a24dc9041ba4209b40e33f8e40df856721ce1ad79f12b0dec6","8d0b4e053b3d8b980355479ea0f4458cbc92fcd833f38351ab46fc499a81639d","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 4; full-demand feasibility is assessed externally"
"S08-r2-b5000-GRASP","S08","REAL","REAL","0","73","2","GRASP","TIME","5000","PARTIAL","TIME_LIMIT","INTEGRATED","false","true","53","49","4","279","262","92.452830","4","49","100.000000","true","","11314.000000","1692.000000","11","5007.772800","","","78.345500","2","0","0","0","3","9676","141523","86.854622","13c27e16980dd0a24dc9041ba4209b40e33f8e40df856721ce1ad79f12b0dec6","de312973ac2b47753cb4200c49f4a097fbdc1ea51a8a3040cbe508d17127830a","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","GRASP-v2 2026-09-23","Native unserved orders: 4; full-demand feasibility is assessed externally"
"S08-r2-b5000-SA","S08","REAL","REAL","0","73","2","SA","TIME","5000","PARTIAL","RETURNED","BUILT","false","true","53","49","4","279","262","92.452830","4","49","100.000000","true","","18783.000000","3553.000000","37","3603.956600","","194.874900","101.659300","6750","6750","2911","1102","5091","181599","1211885","112.959297","13c27e16980dd0a24dc9041ba4209b40e33f8e40df856721ce1ad79f12b0dec6","39d181f533911f56cb011f4a5ac6e4364da919176ff7348ead147807d3c2ced1","2ed1a39a340ac2d6b40c77dda9234017588bf32ec591431746fb0004e67038f8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=49; unattended=4; unattendedIds=[c8715-2026-09-3985, c0901-2026-09-4013, c1413-2026-09-4015, c3076-2026-09-3994]; initialCost=21802.0; iterations=6750; evaluatedNeighbors=4849; acceptedNeighbors=1102; finalTemperature=0.983301527910579"
