instance_id,family,budget_ms,mode,paired_repetitions,grasp_success_rate,sa_success_rate,success_difference_grasp_minus_sa,joint_success_repetitions,mean_cost_difference_on_joint_success,mean_log_cost_ratio_on_joint_success,all_repetitions_jointly_feasible,grasp_mean_cost_on_joint_success,sa_mean_cost_on_joint_success,orders_provably_unservable,grasp_servable_success_rate,sa_servable_success_rate,mean_log_cost_ratio_on_joint_servable_success
E01,NORMAL,5000,TIME,5,1,1,0,5,-1049.2,-0.6481077111673681,1,1146.0,2195.2,0,1,1,-0.6481077111673681
E02,NORMAL,5000,TIME,5,1,1,0,5,-3133.6,-0.9143011831003702,1,2094.0,5227.6,0,1,1,-0.9143011831003702
E03,NORMAL,5000,TIME,5,1,1,0,5,-3141.8,-0.7332828463331016,1,2904.0,6045.8,0,1,1,-0.7332828463331016
E04,NORMAL,5000,TIME,5,1,1,0,5,-5702.2,-0.8585916437223781,1,4190.4,9892.6,0,1,1,-0.8585916437223781
E05,NORMAL,5000,TIME,5,1,1,0,5,-1616.6,-0.7348252059500062,1,1482.0,3098.6,0,1,1,-0.7348252059500062
E06,NORMAL,5000,TIME,5,1,1,0,5,-2006.2,-0.6834123405810296,1,2040.0,4046.2,0,1,1,-0.6834123405810296
E07,NORMAL,5000,TIME,5,1,1,0,5,-4165.6,-0.8583190488071301,1,3064.0,7229.6,0,1,1,-0.8583190488071301
E08,NORMAL,5000,TIME,5,1,1,0,5,-2706.2,-0.5172443566888614,1,3993.6,6699.8,0,1,1,-0.5172443566888614
E09,BLOCKED,5000,TIME,5,1,1,0,5,-1488.0,-0.8899822562333926,1,1032.0,2520.0,0,1,1,-0.8899822562333926
E10,BLOCKED,5000,TIME,5,1,1,0,5,-2264.8,-0.7748799002554596,1,1932.0,4196.8,0,1,1,-0.7748799002554596
E11,BLOCKED,5000,TIME,5,1,1,0,5,-3554.2,-0.8294443984791778,1,2748.0,6302.2,0,1,1,-0.8294443984791778
E12,BLOCKED,5000,TIME,5,1,1,0,5,-4005.6,-0.7252095392078383,1,3757.2,7762.8,0,1,1,-0.7252095392078383
E13,BLOCKED,5000,TIME,5,1,1,0,5,-1395.8,-0.8516592160282385,1,1032.0,2427.8,0,1,1,-0.8516592160282385
E14,BLOCKED,5000,TIME,5,1,1,0,5,-3071.8,-1.0524595078106473,1,1644.0,4715.8,0,1,1,-1.0524595078106473
E15,BLOCKED,5000,TIME,5,1,1,0,5,-3588.6,-0.7442744923339688,1,3244.8,6833.4,0,1,1,-0.7442744923339688
E16,BLOCKED,5000,TIME,5,1,1,0,5,-4877.0,-0.904966048149048,1,3313.6,8190.6,0,1,1,-0.904966048149048
E17,NORMAL,5000,TIME,5,1,1,0,5,-1714.6,-0.8936740503170133,1,1176.0,2890.6,0,1,1,-0.8936740503170133
E18,NORMAL,5000,TIME,5,1,1,0,5,-3261.8,-0.8857688245836859,1,2286.0,5547.8,0,1,1,-0.8857688245836859
E19,NORMAL,5000,TIME,5,1,1,0,5,-4379.2,-0.9596601978096407,1,2718.0,7097.2,0,1,1,-0.9596601978096407
E20,NORMAL,5000,TIME,5,1,1,0,5,-3469.4,-0.6209487910497054,1,4055.6,7525.0,0,1,1,-0.6209487910497054
