id,family,source,n_orders,instance_seed,date,from_hour,to_hour
E01,NORMAL,SYNTHETIC,6,3200,2026-09-09,7,8
E02,NORMAL,SYNTHETIC,12,3201,2026-09-09,7,8
E03,NORMAL,SYNTHETIC,18,3202,2026-09-09,7,8
E04,NORMAL,SYNTHETIC,24,3203,2026-09-09,7,8
E05,NORMAL,SYNTHETIC,6,3204,2026-09-09,7,8
E06,NORMAL,SYNTHETIC,12,3205,2026-09-09,7,8
E07,NORMAL,SYNTHETIC,18,3206,2026-09-09,7,8
E08,NORMAL,SYNTHETIC,24,3207,2026-09-09,7,8
E09,BLOCKED,SYNTHETIC,6,3300,2026-09-09,7,8
E10,BLOCKED,SYNTHETIC,12,3301,2026-09-09,7,8
E11,BLOCKED,SYNTHETIC,18,3302,2026-09-09,7,8
E12,BLOCKED,SYNTHETIC,24,3303,2026-09-09,7,8
E13,BLOCKED,SYNTHETIC,6,3304,2026-09-09,7,8
E14,BLOCKED,SYNTHETIC,12,3305,2026-09-09,7,8
E15,BLOCKED,SYNTHETIC,18,3306,2026-09-09,7,8
E16,BLOCKED,SYNTHETIC,24,3307,2026-09-09,7,8
E17,NORMAL,SYNTHETIC,6,3400,2026-09-09,7,8
E18,NORMAL,SYNTHETIC,12,3401,2026-09-09,7,8
E19,NORMAL,SYNTHETIC,18,3402,2026-09-09,7,8
E20,NORMAL,SYNTHETIC,24,3403,2026-09-09,7,8
E21,NORMAL,SYNTHETIC,6,3404,2026-09-09,7,8
E22,NORMAL,SYNTHETIC,12,3405,2026-09-09,7,8
E23,NORMAL,SYNTHETIC,18,3406,2026-09-09,7,8
E24,NORMAL,SYNTHETIC,24,3407,2026-09-09,7,8
E25,SPLIT,SYNTHETIC,6,3500,2026-09-09,7,8
E26,SPLIT,SYNTHETIC,12,3501,2026-09-09,7,8
E27,SPLIT,SYNTHETIC,18,3502,2026-09-09,7,8
E28,SPLIT,SYNTHETIC,24,3503,2026-09-09,7,8
E29,SPLIT,SYNTHETIC,6,3504,2026-09-09,7,8
E30,SPLIT,SYNTHETIC,12,3505,2026-09-09,7,8
E31,SPLIT,SYNTHETIC,18,3506,2026-09-09,7,8
E32,SPLIT,SYNTHETIC,24,3507,2026-09-09,7,8
E33,REAL,REAL,0,0,2026-09-13,7,8
E34,REAL,REAL,0,0,2026-09-14,7,8
E35,REAL,REAL,0,0,2026-09-15,7,8
E36,REAL,REAL,0,0,2026-09-16,7,8
E37,REAL,REAL,0,0,2026-09-17,7,8
E38,REAL,REAL,0,0,2026-09-18,7,8
E39,REAL,REAL,0,0,2026-09-19,7,8
E40,REAL,REAL,0,0,2026-09-20,7,8
