run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"E01-r1-b5000-GRASP","E01","NORMAL","SYNTHETIC","3200","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","1146.000000","1146.000000","238.000000","4","5000.219100","41.249600","","11.758400","5216","0","0","0","10430","50545","2498512","67.726143","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","3d9186807479a0ef77e63445fb347216313fe554a1faeecbb4b86a1461afde66","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"E01-r1-b5000-SA","E01","NORMAL","SYNTHETIC","3200","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","2152.000000","2152.000000","269.000000","6","1168.570900","14.161600","14.039800","12.644200","6750","6750","1046","1297","4022","111374","335710","56.633827","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","342d6798081655e5756c082bd4523d85b77f3fb67bfb7d3fb94dea15b61d6dc5","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=6; unattended=0; unattendedIds=[]; initialCost=2352.0; iterations=6750; evaluatedNeighbors=4015; acceptedNeighbors=1297; finalTemperature=0.983301527910579"
"E01-r2-b5000-SA","E01","NORMAL","SYNTHETIC","3200","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","2280.000000","2280.000000","285.000000","6","1202.758800","10.867600","10.769000","12.770800","6750","6750","1036","1266","4042","109733","332441","62.692505","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","1ac95d48e529307e9ab854609984f57ee9e2f81c68a4c9b897c957adf055eb99","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=6; unattended=0; unattendedIds=[]; initialCost=2352.0; iterations=6750; evaluatedNeighbors=4035; acceptedNeighbors=1266; finalTemperature=0.983301527910579"
"E01-r2-b5000-GRASP","E01","NORMAL","SYNTHETIC","3200","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","1146.000000","1146.000000","238.000000","3","5000.230800","40.809100","","11.939000","5494","0","0","0","10986","53135","2630497","73.713425","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","66e973e516cd96d192c9656eb9dfa9897928a4f7f8f599cc0a2e91b18e9bcae1","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"E01-r3-b5000-GRASP","E01","NORMAL","SYNTHETIC","3200","101","3","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","1146.000000","1146.000000","238.000000","3","5000.356800","32.310200","","13.565500","5738","0","0","0","11474","55492","2747697","78.680748","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","2516e29fdab9ecef4419981c555de0c836d4cc0a1e6cbd701fb39d1d1296a5e3","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"E01-r3-b5000-SA","E01","NORMAL","SYNTHETIC","3200","101","3","SA","TIME","5000","OK","RETURNED","BUILT","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","2352.000000","2352.000000","294.000000","6","1180.927000","12.003000","11.891000","12.620200","6750","6750","992","1258","3974","108593","328703","65.600494","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","ff300329dca16ee9a5608fd9e14672ca4d9a966ca7a5e797bd5f62cf738db00b","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=6; unattended=0; unattendedIds=[]; initialCost=2352.0; iterations=6750; evaluatedNeighbors=3967; acceptedNeighbors=1258; finalTemperature=0.983301527910579"
"E01-r4-b5000-SA","E01","NORMAL","SYNTHETIC","3200","211","4","SA","TIME","5000","OK","RETURNED","BUILT","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","1964.000000","1964.000000","265.000000","6","1186.618300","12.083200","11.984300","14.609100","6750","6750","999","1221","4002","110637","334106","63.720573","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","0a2374bbffd94f633c187a73f175b6542fe5dfbdf4180d64f492ae02c6eb59da","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=6; unattended=0; unattendedIds=[]; initialCost=2352.0; iterations=6750; evaluatedNeighbors=3995; acceptedNeighbors=1221; finalTemperature=0.983301527910579"
"E01-r4-b5000-GRASP","E01","NORMAL","SYNTHETIC","3200","211","4","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","1146.000000","1146.000000","238.000000","4","5000.197200","34.620400","","9.811700","6569","0","0","0","13136","63273","3145196","80.706436","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","2a9a1889667516cdd238f841bb5f9a6f6ba6b26fc75b728f6b57d34f1a8715dc","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"E01-r5-b5000-GRASP","E01","NORMAL","SYNTHETIC","3200","997","5","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","1146.000000","1146.000000","238.000000","4","5000.195100","35.097900","","9.776700","6218","0","0","0","12434","59969","2977028","80.731178","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","9c034e0cde9eab5c81954eceeca07bd6fd81e154fbdbdb0b75b9ec2503dd333d","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"E01-r5-b5000-SA","E01","NORMAL","SYNTHETIC","3200","997","5","SA","TIME","5000","OK","RETURNED","BUILT","true","true","6","6","0","29","29","100.000000","0","6","100.000000","true","2228.000000","2228.000000","292.000000","6","1157.256400","11.814700","11.692200","12.079100","6750","6750","1054","1172","3910","108309","326849","61.694412","614a7129d5ae8957f7478e6bb47eea2c681a512b6702c4ec41a13792b0a51468","f78503b80c979dd23545ea9d5895dc3d6e4fb62ee3de0c7879894c9d1383256b","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=6; unattended=0; unattendedIds=[]; initialCost=2352.0; iterations=6750; evaluatedNeighbors=3903; acceptedNeighbors=1172; finalTemperature=0.983301527910579"
"E02-r1-b5000-SA","E02","NORMAL","SYNTHETIC","3201","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","12","12","0","55","55","100.000000","0","12","100.000000","true","5529.000000","5529.000000","853.000000","12","1583.538900","29.323200","29.218200","22.085700","6750","6750","1425","1461","4725","148527","526919","61.976425","62560596c67a4e02826151fb6458767625dd707106efa7164bfeea9e999f20c9","9df7b961de5bebb553d433cc308c4f187649dc5e0b44045359ce4401e8ce3f51","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=12; unattended=0; unattendedIds=[]; initialCost=5544.0; iterations=6750; evaluatedNeighbors=4712; acceptedNeighbors=1461; finalTemperature=0.983301527910579"
"E02-r1-b5000-GRASP","E02","NORMAL","SYNTHETIC","3201","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","12","12","0","55","55","100.000000","0","12","100.000000","true","2094.000000","2094.000000","436.000000","5","5000.452200","59.248700","","17.617800","1995","0","0","0","3988","33923","1976397","93.165497","62560596c67a4e02826151fb6458767625dd707106efa7164bfeea9e999f20c9","86001c39570b6c9ee074caaeb4d12cc7787676c7a9e5682033b9af01011a89a5","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"E02-r2-b5000-GRASP","E02","NORMAL","SYNTHETIC","3201","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","12","12","0","55","55","100.000000","0","12","100.000000","true","2094.000000","2094.000000","436.000000","5","5000.408900","48.127400","","18.300400","2084","0","0","0","4166","35611","2068548","94.359047","62560596c67a4e02826151fb6458767625dd707106efa7164bfeea9e999f20c9","9df98d4a82ce71bbad134332a492a0c2d4ea770f564b913ce4b30cf1bd9e3a4e","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"E02-r2-b5000-SA","E02","NORMAL","SYNTHETIC","3201","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","12","12","0","55","55","100.000000","0","12","100.000000","true","5303.000000","5303.000000","801.000000","12","1441.192800","30.716600","30.600300","16.831500","6750","6750","1416","1425","4629","145044","519817","68.768478","62560596c67a4e02826151fb6458767625dd707106efa7164bfeea9e999f20c9","ed2919ecf2f48d178f0fdaa777c6c928c01cee615a3ff263a51aca71b4f74156","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=12; unattended=0; unattendedIds=[]; initialCost=5544.0; iterations=6750; evaluatedNeighbors=4616; acceptedNeighbors=1425; finalTemperature=0.983301527910579"
"E02-r3-b5000-SA","E02","NORMAL","SYNTHETIC","3201","101","3","SA","TIME","5000","OK","RETURNED","BUILT","true","true","12","12","0","55","55","100.000000","0","12","100.000000","true","5014.000000","5014.000000","805.000000","12","1555.318900","30.827800","30.716200","21.367500","6750","6750","1391","1396","4661","150198","529730","70.849045","62560596c67a4e02826151fb6458767625dd707106efa7164bfeea9e999f20c9","e432c7ead9e251e5b87fd003e72bbb476826d24e234bf7bf6c38a390dcb63dde","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=12; unattended=0; unattendedIds=[]; initialCost=5544.0; iterations=6750; evaluatedNeighbors=4648; acceptedNeighbors=1396; finalTemperature=0.983301527910579"
"E02-r3-b5000-GRASP","E02","NORMAL","SYNTHETIC","3201","101","3","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","12","12","0","55","55","100.000000","0","12","100.000000","true","2094.000000","2094.000000","436.000000","5","5000.391200","57.672300","","16.629500","2133","0","0","0","4265","35847","2111377","94.380295","62560596c67a4e02826151fb6458767625dd707106efa7164bfeea9e999f20c9","3991ba6619f28afdcc2edbebf8f089e4d1957c630c796ad7a48657ee2354be3b","2b087ff1e5f21767291e62785136232569e9616124e6c6177439ea9f25aaa1b8","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
