id,family,source,n_orders,instance_seed,date,from_hour,to_hour
PILOT01,NORMAL,SYNTHETIC,6,2100,2026-09-09,7,8
PILOT02,NORMAL,SYNTHETIC,12,2101,2026-09-09,7,8
PILOT03,BLOCKED,SYNTHETIC,6,2110,2026-09-09,7,8
PILOT04,BLOCKED,SYNTHETIC,12,2111,2026-09-09,7,8
PILOT05,REDUCED,SYNTHETIC,6,2120,2026-09-09,7,8
PILOT06,REDUCED,SYNTHETIC,12,2121,2026-09-09,7,8
PILOT07,SPLIT,SYNTHETIC,6,2130,2026-09-09,7,8
PILOT08,SPLIT,SYNTHETIC,12,2131,2026-09-09,7,8
PILOT09,REAL,REAL,0,0,2026-09-09,7,8
PILOT10,REAL,REAL,0,0,2026-09-10,7,8
PILOT11,REAL,REAL,0,0,2026-09-11,7,8
PILOT12,REAL,REAL,0,0,2026-09-12,7,8
