instance_id,family,search_seed,budget_ms,mode,orders_provably_unservable,grasp_servable_ok,sa_servable_ok,log_cost_ratio_on_joint_servable_success,grasp_ok,sa_ok,joint_success,grasp_cost,sa_cost,cost_difference_grasp_minus_sa,log_cost_ratio_grasp_over_sa,grasp_time_first_complete_ms,sa_time_first_complete_ms,input_sha256
S01,NORMAL,42,5000,TIME,0,1,1,-0.9624231910476555,1,1,1,3660.0,9582.0,-5922.0,-0.9624231910476555,77.9915,18.189,bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a
S01,NORMAL,73,5000,TIME,0,1,1,-0.9689824969813458,1,1,1,3630.0,9566.0,-5936.0,-0.9689824969813458,96.5481,18.8955,bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a
S01,NORMAL,101,5000,TIME,0,1,1,-0.8938178760220964,1,1,1,3672.0,8976.0,-5304.0,-0.8938178760220964,174.6079,20.3825,bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a
S01,NORMAL,42,20000,TIME,0,1,1,-1.0059811653867854,1,1,1,3504.0,9582.0,-6078.0,-1.0059811653867854,84.0928,22.0681,bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a
S01,NORMAL,73,20000,TIME,0,1,1,-0.9856495494665574,1,1,1,3570.0,9566.0,-5996.0,-0.9856495494665574,75.877,17.5216,bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a
S01,NORMAL,101,20000,TIME,0,1,1,-0.9186330451418205,1,1,1,3582.0,8976.0,-5394.0,-0.9186330451418205,135.3756,21.878,bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a
S02,NORMAL,42,5000,TIME,0,1,1,-0.8265057327079407,1,1,1,7956.0,18182.0,-10226.0,-0.8265057327079407,138.3416,34.8795,c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47
S02,NORMAL,73,5000,TIME,0,1,1,-0.8163431390820061,1,1,1,7902.0,17876.0,-9974.0,-0.8163431390820061,141.3365,26.4334,c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47
S02,NORMAL,101,5000,TIME,0,1,1,-0.8674399598074956,1,1,1,7920.0,18856.0,-10936.0,-0.8674399598074956,125.3402,25.3085,c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47
S02,NORMAL,42,20000,TIME,0,1,1,-0.8417035936173721,1,1,1,7836.0,18182.0,-10346.0,-0.8417035936173721,166.5137,27.0145,c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47
S02,NORMAL,73,20000,TIME,0,1,1,-0.8163431390820061,1,1,1,7902.0,17876.0,-9974.0,-0.8163431390820061,179.6785,43.3601,c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47
S02,NORMAL,101,20000,TIME,0,1,1,-0.8674399598074956,1,1,1,7920.0,18856.0,-10936.0,-0.8674399598074956,164.7808,29.3844,c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47
S03,NORMAL,42,5000,TIME,0,1,0,,1,0,0,12804.0,,,,274.4822,,af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347
S03,NORMAL,73,5000,TIME,0,1,0,,1,0,0,13234.0,,,,298.3955,,af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347
S03,NORMAL,101,5000,TIME,0,1,0,,1,0,0,12936.0,,,,256.884,,af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347
S03,NORMAL,42,20000,TIME,0,1,0,,1,0,0,12664.0,,,,259.3131,,af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347
S03,NORMAL,73,20000,TIME,0,1,0,,1,0,0,12650.0,,,,316.0705,,af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347
S03,NORMAL,101,20000,TIME,0,1,0,,1,0,0,12740.0,,,,247.2424,,af4d5c116ddcf8f3c35d0390e84adb96e38f51c19f8d09222d5777710e99d347
S04,NORMAL,42,5000,TIME,0,1,0,,1,0,0,19810.0,,,,368.2636,,93b6b346647f304344bac7aa89bd8b21b1c353ce812d47cfd719d2f51fefbc50
S04,NORMAL,73,5000,TIME,0,1,0,,1,0,0,19734.0,,,,389.6115,,93b6b346647f304344bac7aa89bd8b21b1c353ce812d47cfd719d2f51fefbc50
S04,NORMAL,101,5000,TIME,0,1,0,,1,0,0,20214.0,,,,405.8407,,93b6b346647f304344bac7aa89bd8b21b1c353ce812d47cfd719d2f51fefbc50
S04,NORMAL,42,20000,TIME,0,1,0,,1,0,0,19182.0,,,,380.7484,,93b6b346647f304344bac7aa89bd8b21b1c353ce812d47cfd719d2f51fefbc50
S04,NORMAL,73,20000,TIME,0,1,0,,1,0,0,19672.0,,,,383.1986,,93b6b346647f304344bac7aa89bd8b21b1c353ce812d47cfd719d2f51fefbc50
