run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"S01-r1-b5000-GRASP","S01","NORMAL","SYNTHETIC","5100","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3660.000000","3660.000000","770.000000","8","5000.536000","77.991500","","20.739100","402","0","0","0","803","159923","2732256","261.815697","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","5cb56d5b6a7edf8d4db4c722a64364bd4eee6322ed523915294345b2ed757918","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S01-r1-b5000-SA","S01","NORMAL","SYNTHETIC","5100","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","9582.000000","9582.000000","1907.000000","28","1520.960400","18.189000","18.588000","23.388700","6750","6750","1363","1274","4426","157918","674955","72.322418","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","3c72e6b57112630107c22d4d3700e0e2878261eeeb03a1d289fed60fc8558009","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S01-r2-b5000-SA","S01","NORMAL","SYNTHETIC","5100","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","9566.000000","9566.000000","1905.000000","28","1709.116100","18.895500","19.353100","23.932000","6750","6750","1316","1202","4467","157655","686194","71.223236","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","264d22fa6674b26e9ad32e3de8a5cac5ac0c59279c3aaefc33db9bbc8e8a3c3d","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S01-r2-b5000-GRASP","S01","NORMAL","SYNTHETIC","5100","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3630.000000","3630.000000","760.000000","8","5001.361000","96.548100","","50.395100","376","0","0","0","751","149560","2565900","265.512138","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","45c78bc370235d3ee7f9b447cd26bad0f8d91604706842bc9b8aa6db2e47d05c","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S01-r3-b5000-GRASP","S01","NORMAL","SYNTHETIC","5100","101","3","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3672.000000","3672.000000","790.000000","8","5011.922600","174.607900","","17.287100","233","0","0","0","465","93688","1614500","229.097198","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","410670a770fccf653e6ddc28660df6e19fa04956638f0b78247ef1e167a0c8dc","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S01-r3-b5000-SA","S01","NORMAL","SYNTHETIC","5100","101","3","SA","TIME","5000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","8976.000000","8976.000000","1835.000000","28","1852.320500","20.382500","21.557300","23.261400","6750","6750","1446","1210","4546","164855","728043","66.091011","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","d7ca9d7945c1c0619d61251a1485bbb778f0214ba60f1dcd8f3068200b064614","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S01-r1-b20000-GRASP","S01","NORMAL","SYNTHETIC","5100","42","1","GRASP","TIME","20000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3504.000000","3504.000000","722.000000","7","20000.389800","84.092800","","20.250000","1688","0","0","0","3375","671274","11451681","353.937195","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","f41cbcc1ddaf48aafcb9104e45f6e24e62acc7a1685317f0f73e12c87848800d","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S01-r1-b20000-SA","S01","NORMAL","SYNTHETIC","5100","42","1","SA","TIME","20000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","9582.000000","9582.000000","1907.000000","28","2038.946100","22.068100","22.399600","25.175300","6750","6750","1363","1274","4426","157918","674955","71.272461","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","3c72e6b57112630107c22d4d3700e0e2878261eeeb03a1d289fed60fc8558009","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S01-r2-b20000-SA","S01","NORMAL","SYNTHETIC","5100","73","2","SA","TIME","20000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","9566.000000","9566.000000","1905.000000","28","1590.952000","17.521600","18.060200","23.635000","6750","6750","1316","1202","4467","157655","686194","75.289902","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","264d22fa6674b26e9ad32e3de8a5cac5ac0c59279c3aaefc33db9bbc8e8a3c3d","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S01-r2-b20000-GRASP","S01","NORMAL","SYNTHETIC","5100","73","2","GRASP","TIME","20000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3570.000000","3570.000000","728.000000","7","20000.690200","75.877000","","31.877900","2044","0","0","0","4086","803251","13805355","360.433388","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","66e9a6cfdc13e086b30fa554e45943e9e308ea13132c1c3ee469cee4c8507d04","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
