elapsed_ms,unserved_orders,planned_cost
0.369887,15,0.000000
12.584295,14,576.000000
17.473881,14,216.000000
27.723419,13,840.000000
38.861918,13,684.000000
44.998327,12,1484.000000
57.363266,12,816.000000
65.765902,11,1312.000000
71.990875,11,1002.000000
76.778322,11,828.000000
82.296357,10,1484.000000
94.337848,10,1320.000000
98.022172,9,1912.000000
100.609666,9,1416.000000
113.308964,8,1800.000000
121.657706,8,1680.000000
125.382637,8,1500.000000
127.652013,7,2028.000000
129.608320,7,1530.000000
140.144259,6,1962.000000
147.984263,6,1692.000000
154.003413,5,2028.000000
161.562607,5,1944.000000
165.125273,4,2472.000000
167.629081,4,2142.000000
168.290386,4,2136.000000
168.544322,4,2106.000000
169.210801,4,2094.000000
177.413019,3,2254.000000
185.141723,3,2214.000000
188.830908,2,2518.000000
191.594170,2,2328.000000
192.284601,2,2322.000000
192.788551,2,2316.000000
193.151768,2,2286.000000
196.147743,2,2250.000000
196.253011,2,2238.000000
197.934752,1,2574.000000
199.959132,1,2364.000000
202.844569,1,2346.000000
208.116318,0,2954.000000
215.609272,0,2802.000000
229.697807,0,2793.000000
