elapsed_ms,unserved_orders,planned_cost
0.594811,20,0.000000
13.455552,19,368.000000
21.856063,19,138.000000
34.696842,18,778.000000
56.339311,18,618.000000
63.557241,17,1050.000000
77.205700,17,942.000000
89.152870,16,1502.000000
102.416782,16,1362.000000
103.420604,16,942.000000
111.291392,15,1406.000000
114.370271,15,1116.000000
131.729428,14,1356.000000
137.955608,14,1296.000000
145.722698,13,2144.000000
147.812700,13,1614.000000
169.270320,12,2318.000000
180.701527,12,2142.000000
182.765382,12,1806.000000
191.199643,11,2450.000000
199.978710,11,2310.000000
209.368440,11,2202.000000
213.218474,11,2070.000000
222.653569,10,2294.000000
233.274364,10,2238.000000
243.650750,9,2598.000000
244.566505,9,2374.000000
248.823787,9,2312.000000
262.453001,8,2918.000000
263.351475,8,2870.000000
275.022784,8,2782.000000
276.553298,8,2542.000000
282.694849,7,2814.000000
283.545740,7,2766.000000
287.879236,7,2644.000000
306.600906,6,3198.000000
307.236332,6,3102.000000
310.236740,6,2968.000000
312.731976,6,2848.000000
322.535286,5,3480.000000
322.848080,5,3192.000000
338.616009,4,3672.000000
343.746740,4,3372.000000
345.869656,4,3360.000000
347.181617,4,3294.000000
348.167190,4,3234.000000
355.466961,3,3724.000000
367.698069,3,3636.000000
368.928603,3,3492.000000
373.920546,2,4084.000000
374.360145,2,3828.000000
391.583870,1,4644.000000
392.024447,1,4388.000000
419.469093,1,4272.000000
429.177623,0,4908.000000
429.458220,0,4716.000000
429.689402,0,4588.000000
429.801534,0,4524.000000
980.726435,0,4468.000000
1001.844217,0,4340.000000
1137.368944,0,4238.000000
1278.112818,0,4058.000000
1439.417477,0,3950.000000
1473.589800,0,3862.000000
