elapsed_ms,unserved_orders,planned_cost
0.717625,41,0.000000
69.699599,40,352.000000
72.287141,40,132.000000
77.784530,39,292.000000
88.021107,38,1124.000000
105.260447,38,952.000000
109.358318,37,1784.000000
135.796408,36,2104.000000
139.629759,36,1784.000000
157.222902,35,2632.000000
170.352769,35,2252.000000
191.330235,34,2800.000000
191.772008,34,2752.000000
194.248504,34,2608.000000
202.225296,34,2480.000000
209.943059,33,3296.000000
214.131732,33,3232.000000
227.368277,33,2936.000000
232.729803,33,2768.000000
239.126897,32,3220.000000
239.573591,32,3108.000000
265.411536,32,3080.000000
269.592487,31,3916.000000
273.292914,31,3132.000000
312.229971,30,3740.000000
312.645781,30,3580.000000
331.857599,30,3420.000000
339.700191,30,3276.000000
345.933526,29,4064.000000
346.360179,29,3904.000000
370.632270,29,3768.000000
375.422618,29,3516.000000
386.523185,28,3932.000000
386.836850,28,3820.000000
389.274488,28,3772.000000
405.212954,28,3708.000000
420.062821,27,4484.000000
426.004782,27,3828.000000
468.907008,26,4948.000000
471.222048,26,4900.000000
474.021042,26,4404.000000
495.825803,26,4140.000000
529.209856,25,4460.000000
529.457086,25,4316.000000
556.399436,25,4224.000000
564.312702,24,5148.000000
565.706267,24,4988.000000
575.280493,24,4668.000000
576.546388,24,4560.000000
588.406914,24,4488.000000
602.342032,23,4860.000000
602.635976,23,4796.000000
609.186681,23,4716.000000
624.134575,23,4668.000000
631.949459,22,5500.000000
632.803588,22,5468.000000
634.661781,22,5020.000000
639.907923,22,4992.000000
653.423384,22,4812.000000
669.606010,21,5678.000000
681.233879,21,5406.000000
761.118274,20,6158.000000
766.263760,20,5806.000000
768.052754,20,5710.000000
810.782868,19,6862.000000
812.896734,19,6814.000000
816.260253,19,6382.000000
826.640304,19,6254.000000
837.708155,19,6204.000000
838.699542,19,6138.000000
848.452232,19,6024.000000
894.477932,18,6730.000000
895.099776,18,6682.000000
906.047268,18,6570.000000
907.966239,18,6458.000000
929.149787,18,6342.000000
944.919135,17,6970.000000
952.695000,17,6730.000000
982.986479,17,6590.000000
1003.827002,16,7254.000000
1006.947697,16,7014.000000
1009.620223,16,6918.000000
1012.878392,16,6822.000000
1051.337282,15,7314.000000
1117.556732,14,8274.000000
1119.460408,14,8226.000000
1127.355496,14,7794.000000
1163.366751,14,7518.000000
1187.979938,13,8690.000000
1189.447640,13,8642.000000
1198.343007,13,8370.000000
1233.263082,13,8070.000000
1262.211946,12,8950.000000
1270.728631,12,8678.000000
1305.772152,12,8466.000000
1330.739016,11,9362.000000
1331.116246,11,9234.000000
1346.754438,11,9170.000000
1347.113210,11,9074.000000
1349.922216,11,8832.000000
1401.641044,10,9326.000000
1401.826753,10,9182.000000
1424.858457,10,9150.000000
1447.723593,9,9814.000000
1448.967310,9,9702.000000
1461.549662,9,9654.000000
1463.856029,9,9606.000000
1472.832838,9,9534.000000
1476.123407,9,9384.000000
