elapsed_ms,unserved_orders,planned_cost
0.543601,41,0.000000
72.773525,40,352.000000
75.140269,40,132.000000
80.153073,39,292.000000
91.577076,38,1124.000000
106.904393,38,952.000000
113.852610,37,1784.000000
140.370186,36,2104.000000
141.188027,36,1784.000000
168.554257,35,2392.000000
175.490328,35,2012.000000
195.748191,34,2332.000000
203.964543,34,2012.000000
213.923064,33,2588.000000
229.696683,33,2564.000000
244.517313,32,2980.000000
264.346704,32,2876.000000
265.916486,32,2756.000000
274.326140,31,3284.000000
290.201967,31,3056.000000
317.685842,30,3664.000000
343.223847,30,3344.000000
351.082421,29,3904.000000
367.965305,29,3764.000000
369.429377,29,3716.000000
379.618758,29,3356.000000
386.297243,28,3772.000000
400.588106,28,3668.000000
415.005998,27,4516.000000
415.718822,27,4420.000000
416.325370,27,4148.000000
453.537310,26,4420.000000
505.352847,25,4740.000000
516.757367,25,4732.000000
517.285327,25,4660.000000
522.413566,25,4504.000000
543.603079,24,5448.000000
544.997972,24,5304.000000
548.046783,24,5272.000000
550.757659,24,4684.000000
555.363036,24,4618.000000
571.052443,24,4576.000000
584.803355,23,4752.000000
587.765389,23,4624.000000
597.227591,23,4576.000000
605.513769,22,4576.000000
643.894238,21,4576.000000
687.559724,20,4704.000000
736.983659,19,5296.000000
746.571331,19,5052.000000
752.950887,19,4974.000000
755.668611,19,4872.000000
786.502224,18,5320.000000
787.059848,18,5304.000000
816.786725,18,5208.000000
833.208540,17,5672.000000
833.849005,17,5576.000000
851.871702,17,5556.000000
852.646513,17,5460.000000
868.126769,16,5892.000000
868.853401,16,5860.000000
890.161034,16,5742.000000
890.473162,16,5610.000000
901.190196,16,5526.000000
926.772231,15,6006.000000
927.115438,15,5782.000000
960.150273,14,6822.000000
962.077538,14,6710.000000
990.397727,14,6502.000000
991.130619,14,6166.000000
1007.936581,13,7142.000000
1009.625899,13,7030.000000
1042.007256,13,6838.000000
1043.652330,13,6442.000000
1058.865062,12,6922.000000
1092.046114,12,6886.000000
1092.985400,12,6706.000000
1105.773084,11,7266.000000
1113.696091,11,7120.000000
1114.280354,11,6940.000000
1115.073439,11,6910.000000
1115.400206,11,6712.000000
1137.168558,10,6952.000000
1137.945665,10,6936.000000
1152.753212,10,6880.000000
1160.217650,9,7296.000000
1160.893449,9,7264.000000
1176.434067,9,7156.000000
1176.852058,9,7084.000000
1184.232126,9,7060.000000
1201.868432,8,8084.000000
1203.477421,8,7972.000000
1230.813365,8,7648.000000
1235.884874,8,7540.000000
1238.540110,7,7748.000000
1238.746019,7,7620.000000
1253.026917,6,8132.000000
1253.809788,6,8084.000000
1254.374248,6,8052.000000
1259.978854,6,7920.000000
1260.415654,6,7812.000000
1261.535992,6,7764.000000
1275.201977,6,7620.000000
1277.816678,5,8228.000000
1278.544836,5,8068.000000
1279.670978,5,8004.000000
1294.062748,5,7992.000000
1297.357922,5,7908.000000
1302.068331,5,7776.000000
1306.642520,4,8480.000000
1310.712933,4,8416.000000
1312.972351,4,8400.000000
1333.433545,4,8256.000000
1343.333954,4,8244.000000
1345.359660,3,8660.000000
1347.078034,3,8580.000000
