run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,final_state,budget_exhausted,reheats,violations,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,unruled_out_orders_fully_served,coverage_unruled_out_pct,full_unruled_out_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"READY05-r1-b1500-GRASP","READY05","BLOCKED","SYNTHETIC","6105","42","1","GRASP","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","INTEGRATED","true","true","5","5","0","29","29","100.000000","0","5","100.000000","true","1104.000000","1104.000000","184.000000","2","1504.068258","117.083904","","12.415093","27","5591","1240","19","11429","15742","70707","109.059319","a0d0edd3fa0d870f3ce5f4175de4dfbba0615977907ada7ccb468c9696f62062","30bac1f6370a25e7f749a1799e8950d2ff05ce59a0778f89beb0a14b7bd9a827","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","GRASP-v3 2026-09-24","v3: common full-demand evaluator; validated anytime incumbent"
"READY05-r1-b1500-SA","READY05","BLOCKED","SYNTHETIC","6105","42","1","SA","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","COMPLETE","true","true","5","5","0","29","29","100.000000","0","5","100.000000","true","1102.000000","1102.000000","158.000000","3","1500.294626","254.667502","305.428069","8.649862","3390","3390","1188","1090","3436","4840","31314","91.259094","a0d0edd3fa0d870f3ce5f4175de4dfbba0615977907ada7ccb468c9696f62062","94c3ee22298b2186cdaf7abc17b888d34f2a0b3050b4fdb9439bd18a6ef501ed","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","SA-v3 2026-09-24","v3: feasible insertion seed; repaired moves; lexicographic coverage; TIME reheating; same complete-demand evaluator"
"READY10-r1-b1500-SA","READY10","BLOCKED","SYNTHETIC","6110","42","1","SA","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","COMPLETE","true","true","10","10","0","57","57","100.000000","0","10","100.000000","true","1864.000000","1864.000000","269.000000","4","1500.140966","239.731660","253.992403","9.079905","3150","3150","963","1290","3561","5096","31181","88.026901","35357c5921825b7ab8e4f97732a67e7a748fc3978cfab39c1f6d350b1bc02ade","6dd3e162d0b7a1b2fc1bd04134051151159345a8c5d0ed16b2584d737429b2d1","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","SA-v3 2026-09-24","v3: feasible insertion seed; repaired moves; lexicographic coverage; TIME reheating; same complete-demand evaluator"
"READY10-r1-b1500-GRASP","READY10","BLOCKED","SYNTHETIC","6110","42","1","GRASP","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","INTEGRATED","true","true","10","10","0","57","57","100.000000","0","10","100.000000","true","2172.000000","2172.000000","388.000000","4","1500.130497","200.713529","","8.609271","9","6499","2222","21","11108","15531","80306","134.272697","35357c5921825b7ab8e4f97732a67e7a748fc3978cfab39c1f6d350b1bc02ade","54b394efd7c36bd91f76f47650ebde565b9ae4339cfad63f83f85aa331c01cf3","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","GRASP-v3 2026-09-24","v3: common full-demand evaluator; validated anytime incumbent"
"READY15-r1-b1500-GRASP","READY15","BLOCKED","SYNTHETIC","6115","42","1","GRASP","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","INTEGRATED","true","true","15","15","0","56","56","100.000000","0","15","100.000000","true","2262.000000","2262.000000","456.000000","5","1500.134619","261.427870","","8.539585","4","7634","2472","47","10822","17420","92616","133.401085","2e8903813d7830235bc9fea6e9cfcbd888358aa1bbf09185dfc54ba0334cc5f7","ef9b2e0a2e3fb67b2a811beb6a08c9374a1b31607578f52dd50b8da229de0734","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","GRASP-v3 2026-09-24","v3: common full-demand evaluator; validated anytime incumbent"
"READY15-r1-b1500-SA","READY15","BLOCKED","SYNTHETIC","6115","42","1","SA","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","COMPLETE","true","true","15","15","0","56","56","100.000000","0","15","100.000000","true","2793.000000","2793.000000","585.000000","4","1500.134158","208.116318","223.071023","10.033819","4943","4943","1767","1506","5664","8299","56669","136.105400","2e8903813d7830235bc9fea6e9cfcbd888358aa1bbf09185dfc54ba0334cc5f7","305c371c162c53a06d1f07340a3d4d752c4b49d88afa64d066d47991219a6323","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","SA-v3 2026-09-24","v3: feasible insertion seed; repaired moves; lexicographic coverage; TIME reheating; same complete-demand evaluator"
"READY20-r1-b1500-SA","READY20","BLOCKED","SYNTHETIC","6120","42","1","SA","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","COMPLETE","true","true","20","20","0","99","99","100.000000","0","20","100.000000","true","3864.000000","3864.000000","770.000000","5","1500.127535","279.804937","297.116043","15.287018","3021","3021","931","1334","4085","5703","39708","110.997704","2d184131df27b15effd5c4b9d2c9b0f1040584384e03d3058a060bcd668c1ed8","7eb270a61492e4082b76e84d121e84873c05cd04bb764760af8a108baac5bced","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","SA-v3 2026-09-24","v3: feasible insertion seed; repaired moves; lexicographic coverage; TIME reheating; same complete-demand evaluator"
"READY20-r1-b1500-GRASP","READY20","BLOCKED","SYNTHETIC","6120","42","1","GRASP","TIME","1500","OK","COMPLETE","true","0","0","TIME_LIMIT","INTEGRATED","true","true","20","20","0","99","99","100.000000","0","20","100.000000","true","3862.000000","3862.000000","782.000000","7","1507.788559","429.177623","","12.837337","1","6883","2226","10","8131","13864","84420","120.389725","2d184131df27b15effd5c4b9d2c9b0f1040584384e03d3058a060bcd668c1ed8","34e889f656f1266a24af792508e71563d22cefaa65efd0f80d64155119540b51","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","GRASP-v3 2026-09-24","v3: common full-demand evaluator; validated anytime incumbent"
"READYREAL-r1-b1500-GRASP","READYREAL","REAL","REAL","0","42","1","GRASP","TIME","1500","PARTIAL","INCOMPLETE","true","0","9","TIME_LIMIT","INTEGRATED","false","true","41","32","9","219","166","78.048780","3","32","84.210526","false","","9384.000000","1656.000000","16","1500.350482","","","35.199432","1","0","0","0","2602","2614","11226","78.263908","d5d3670eea34f7745eda72b3cef2955e713ba273aeb758d41595c8dd9d500cb0","59adc9acac1cd4f4b0c286a56e4e2bac9f5097b99ca4980e84daa1d664671a88","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","GRASP-v3 2026-09-24","v3: common full-demand evaluator; validated anytime incumbent"
"READYREAL-r1-b1500-SA","READYREAL","REAL","REAL","0","42","1","SA","TIME","1500","PARTIAL","INCOMPLETE","true","0","3","TIME_LIMIT","PARTIAL","false","true","41","38","3","219","208","92.682927","3","38","100.000000","true","","8580.000000","1504.000000","7","1500.332311","","1378.047823","39.294018","66","66","41","15","2527","2566","15550","74.148193","d5d3670eea34f7745eda72b3cef2955e713ba273aeb758d41595c8dd9d500cb0","b46862387529dcdb7d50084aad0e43520b7c2a2044f6a474c428ac233eebe738","db19f5f5d522b544051e1dd834a330e9d39a0879764867faeed7fbf3947032f8","SA-v3 2026-09-24","v3: feasible insertion seed; repaired moves; lexicographic coverage; TIME reheating; same complete-demand evaluator"
