elapsed_ms,unserved_orders,planned_cost
0.675780,7,0.000000
20.145968,6,800.000000
33.640809,6,600.000000
42.740830,5,1400.000000
55.584645,5,1200.000000
73.899261,4,2336.000000
79.827193,4,1626.000000
90.036827,4,1620.000000
98.192016,4,1548.000000
104.624506,3,2106.000000
118.515364,3,1986.000000
127.717046,3,1842.000000
131.403259,2,2578.000000
166.903531,1,2802.000000
197.932829,0,3202.000000
206.875987,0,3102.000000
211.764148,0,3024.000000
212.332545,0,2958.000000
305.887909,0,2852.000000
357.451400,0,2792.000000
407.262481,0,2560.000000
410.499214,0,2544.000000
