elapsed_ms,unserved_orders,planned_cost
0.528383,7,0.000000
20.924642,6,800.000000
34.553911,6,600.000000
47.576485,5,1400.000000
72.468743,5,1200.000000
80.204475,4,2336.000000
89.061983,4,1626.000000
97.225551,4,1620.000000
104.421821,4,1548.000000
114.372497,3,2028.000000
126.309935,3,1908.000000
133.277405,3,1752.000000
134.109341,3,1728.000000
139.988351,2,2464.000000
169.809084,1,2688.000000
195.054206,0,3088.000000
202.779617,0,2988.000000
210.475771,0,2928.000000
962.199317,0,2744.000000
1105.946938,0,2530.000000
1107.803388,0,2330.000000
1119.696596,0,2318.000000
1119.815333,0,2110.000000
